language,strategy,model_or_tokenizer,metric_type,num_tokens,fertility,generation_time
en,BaselinePreprocessor,xlm-roberta-base,static,52.0,1.4054054054054055,
en,BaselinePreprocessor,google/mt5-base,static,57.0,1.5405405405405406,
en,BaselinePreprocessor,google/gemma-2b-it,dynamic,,,0.710456371307373
en,RegexPreprocessor,xlm-roberta-base,static,61.0,1.4523809523809523,
en,RegexPreprocessor,google/mt5-base,static,65.0,1.5476190476190477,
en,RegexPreprocessor,google/gemma-2b-it,dynamic,,,0.7520332336425781
en,Baseline_Lower,xlm-roberta-base,static,58.0,1.5675675675675675,
en,Baseline_Lower,google/mt5-base,static,60.0,1.6216216216216217,
en,Baseline_Lower,google/gemma-2b-it,dynamic,,,0.14485597610473633
en,BaselinePreprocessor,xlm-roberta-base,static,41.0,1.64,
en,BaselinePreprocessor,google/mt5-base,static,47.0,1.88,
en,BaselinePreprocessor,google/gemma-2b-it,dynamic,,,0.739570140838623
en,RegexPreprocessor,xlm-roberta-base,static,43.0,1.6538461538461537,
en,RegexPreprocessor,google/mt5-base,static,49.0,1.8846153846153846,
en,RegexPreprocessor,google/gemma-2b-it,dynamic,,,0.7123277187347412
en,Baseline_Lower,xlm-roberta-base,static,42.0,1.68,
en,Baseline_Lower,google/mt5-base,static,48.0,1.92,
en,Baseline_Lower,google/gemma-2b-it,dynamic,,,0.7138161659240723
en,BaselinePreprocessor,xlm-roberta-base,static,55.0,1.4864864864864864,
en,BaselinePreprocessor,google/mt5-base,static,51.0,1.3783783783783783,
en,BaselinePreprocessor,google/gemma-2b-it,dynamic,,,0.882164716720581
en,RegexPreprocessor,xlm-roberta-base,static,58.0,1.3488372093023255,
en,RegexPreprocessor,google/mt5-base,static,59.0,1.372093023255814,
en,RegexPreprocessor,google/gemma-2b-it,dynamic,,,0.9298844337463379
en,Baseline_Lower,xlm-roberta-base,static,54.0,1.4594594594594594,
en,Baseline_Lower,google/mt5-base,static,53.0,1.4324324324324325,
en,Baseline_Lower,google/gemma-2b-it,dynamic,,,0.9344151020050049
en,BaselinePreprocessor,xlm-roberta-base,static,51.0,1.5,
en,BaselinePreprocessor,google/mt5-base,static,55.0,1.6176470588235294,
en,BaselinePreprocessor,google/gemma-2b-it,dynamic,,,0.7179441452026367
